type,south_2015,south_2016,east_2015,east_2016,north_2015,north_2016,west_2015,west_2016
남성/20대 이하 건당 이용금액,21675,21186,20031,19065,20904,21301,18888,18199
남성/30대 건당 이용금액,34728,33137,27605,26462,34353,33261,29129,27683
남성/40대 건당 이용금액,47209,43215,40656,37557,46444,44075,42317,38542
남성/50대 건당 이용금액,56225,50877,51545,46289,55380,52004,53237,48069
남성/60대 이상 건당 이용금액,61370,54693,59326,51341,60799,56860,63189,55970
여성/20대 이하 건당 이용금액,23055,22797,20159,19658,23509,24745,19941,19860
여성/30대 건당 이용금액,36398,35934,28686,27636,37452,38309,31404,30825
여성/40대 건당 이용금액,44448,42253,37860,35639,43841,42698,36930,33894
여성/50대 건당 이용금액,53125,50275,49428,44353,51558,49651,50140,44580
여성/60대 이상 건당 이용금액,58611,53789,59762,53846,56543,54172,56726,49582
