type,south_2015,south_2016,east_2015,east_2016,north_2015,north_2016,west_2015,west_2016
남성/20대 이하 매출금액,"7,845,467,507","12,224,742,908","2,705,606,715","4,391,094,787","41,770,954,828","59,032,173,543","1,559,543,520","2,308,003,347"
남성/30대 매출금액,"30,951,796,825","38,175,381,864","9,109,934,526","11,592,660,971","126,981,132,846","151,803,871,216","5,702,085,551","7,063,911,596"
남성/40대 매출금액,"51,205,980,678","59,208,665,044","12,772,515,147","15,229,405,654","197,753,012,480","224,440,920,679","11,329,333,743","13,532,364,102"
남성/50대 매출금액,"43,798,693,227","47,814,214,897","12,092,876,694","13,861,491,714","171,756,452,351","185,283,794,721","11,513,558,617","12,874,446,818"
남성/60대 이상 매출금액,"29,911,934,429","30,196,107,175","9,861,711,844","9,582,778,707","97,851,110,521","98,743,858,768","10,247,967,689","10,216,278,521"
여성/20대 이하 매출금액,"9,780,277,120","14,068,217,396","3,787,932,766","5,798,404,210","56,218,353,087","78,014,659,984","1,631,958,163","2,385,265,327"
여성/30대 매출금액,"27,376,548,203","33,121,885,529","7,931,520,941","9,668,149,492","115,664,689,304","139,228,400,877","4,748,669,288","5,950,216,579"
여성/40대 매출금액,"32,443,266,631","37,206,904,780","7,295,531,229","8,948,751,310","141,545,939,355","160,236,903,292","6,302,619,666","7,501,884,909"
여성/50대 매출금액,"25,452,126,081","28,174,692,273","6,788,252,079","7,883,953,469","106,631,050,073","115,188,171,125","5,773,598,878","6,229,095,932"
여성/60대 이상 매출금액,"13,424,363,633","14,385,640,380","3,886,098,193","4,176,710,904","51,923,651,288","54,193,636,775","3,485,306,031","3,614,974,757"
