type,south_2015,south_2016,east_2015,east_2016,north_2015,north_2016,west_2015,west_2016
남성/20대 이하 이용자수,53857,78920,38589,58770,113718,165088,21195,29987
남성/30대 이용자수,119793,140722,85755,103271,228783,286624,47272,52834
남성/40대 이용자수,104459,124448,68519,81342,206367,257288,42583,49566
남성/50대 이용자수,73334,85131,47300,55312,165569,195236,30713,35591
남성/60대 이상 이용자수,43883,48483,28385,31173,93974,103239,18642,20048
여성/20대 이하 이용자수,78722,108956,58353,84650,164635,226410,27291,37136
여성/30대 이용자수,116153,131599,82531,94598,220573,251889,41673,45452
여성/40대 이용자수,74523,90943,48917,60242,150130,183582,28506,33918
여성/50대 이용자수,51376,63066,34778,43137,119169,143496,19733,23407
여성/60대 이상 이용자수,26270,30447,17400,20058,59836,69293,9665,11제주특별자치도_FIT 증가에 따른 제주 관광객 소비패턴 변화 분석_비씨카드_지역별지리적구분_성연령별분석_이용자수비율_2014~2016.csv041
