type,south_2015,south_2016,east_2015,east_2016,north_2015,north_2016,west_2015,west_2016
남성/20대 이하 이용건수,5.80%,7.40%,6.60%,8.50%,7.60%,8.80%,5.50%,6.60%
남성/30대 이용건수,14.30%,14.70%,16.20%,16.20%,14.00%,14.40%,13.00%,13.20%
남성/40대 이용건수,17.40%,17.50%,15.40%,15.00%,16.20%,16.10%,17.80%,18.20%
남성/50대 이용건수,12.50%,12.00%,11.50%,11.00%,11.80%,11.30%,14.40%,13.90%
남성/60대 이상 이용건수,7.80%,7.00%,8.20%,6.90%,6.10%,5.50%,10.80%,9.50%
여성/20대 이하 이용건수,6.80%,7.90%,9.20%,10.90%,9.10%,10.00%,5.40%,6.20%
여성/30대 이용건수,12.10%,11.80%,13.60%,12.90%,11.70%,11.50%,10.00%,10.00%
여성/40대 이용건수,11.70%,11.20%,9.40%,9.30%,12.20%,11.90%,11.30%,11.50%
여성/50대 이용건수,7.70%,7.10%,6.70%,6.60%,7.80%,7.30%,7.70%,7.20%
여성/60대 이상 이용건수,3.70%,3.40%,3.20%,2.90%,3.50%,3.20%,4.10%,3.80%
