type,south_2015,south_2016,east_2015,east_2016,north_2015,north_2016,west_2015,west_2016
남성/20대 이하 이용건수,361959,577014,135068,230325,1998242,2771376,82569,126820
남성/30대 이용건수,891254,1152056,330014,438083,3696367,4563969,195752,255167
남성/40대 이용건수,1084671,1370088,314159,405496,4257855,5092269,267725,351109
남성/50대 이용건수,778991,939792,234608,299456,3101411,3562885,216268,267834
남성/60대 이상 이용건수,487401,552103,166230,186651,1609413,1736620,162179,182530
여성/20대 이하 이용건수,424223,617096,187900,294964,2391371,3152751,81838,120104
여성/30대 이용건수,752141,921732,276496,349834,3088313,3634317,151212,193034
여성/40대 이용건수,729919,880580,192697,251096,3228647,3752790,170662,221333
여성/50대 이용건수,479097,560410,137336,177755,2068176,2319977,115150,139730
여성/60대 이상 이용건수,229042,267445,65026,77568,918309,1000405,61441,72909
